field	schema	required	dataType	description	comments	exact_mappings	validation
submitter_participant_id	phenotype	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
age_at_phenotype	phenotype	False	integer	Participant's age (in days) when phenotype was observed			
phenotype_code	phenotype	True	string	Use standardized HPO (Human Phenotype Ontology) codes to represent the phenotype.	['Provide code in Compact URI (CURIE) pattern.  HPO URL: https://hpo.jax.org/app/browse/term/HP:<code>']		pattern:^HP:[0-9]{7}$
phenotype_term	phenotype	False	string	Provide the standardized and human readable term derived from the coding system associated with the phenotype_code.			
phenotype_observed	phenotype	True	string	Indicate whether the phenotype was observed in the participant.			Enum:No,Unknown,Yes
phenotype_duration	phenotype	False	integer	Indicate the length of time (in days) over which the phenotype was observed in the participant.			
phenotype_severity	phenotype	False	string	The degree or severity of the observed phenotype.	['Permissible values from https://hpo.jax.org/browse/term/HP:0012824']		Enum:Borderline,Mild,Moderate,Profound,Severe
study_id	demographic	True	string	Unique identifier of the study.		CQDG:study_id	
submitter_participant_id	demographic	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
gender	demographic	True	string	Refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). The provided values are based on the categories defined by Statistics Canada	['EDI indicator']	mCODE.STU3:Patient.gender;FHIR:Patient.gender;Phenopacket:individual.gender;BeaconV2:individual.gender	Enum:Man,Missing,Non-binary person,Not Applicable,Not Collected,Not Provided,Restricted Access,Woman
sex_at_birth	demographic	True	string	Refers to sex assigned at birth. Sex at birth is typically assigned based on a person's reproductive system and other physical characteristics. The provided values are based on the categoried defined by Statistics Canada	['EDI indicator']	All4One:Biological_sex;CQDG:Sex;mCODE.STU3:Patient.extension.birthsex;FHIR:Patient.extension.birthsex;Phenopacket:individual.sex;BeaconV2:individual.sex	Enum:Female,Male,Missing,Not Applicable,Not Collected,Not Provided,Restricted Access
ethnicity	demographic	True	string	Refers to the ethnic or cultural origins of a person’s ancestors. The provided values are based on the list of ethnic or cultural origins 2021 defined by Statistics Canada	['EDI indicator']	mCODE.STU3:Patient.extension.ethnicity;FHIR:Patient.extension.ethnicity	Enum:African,Asian,Caribbean,European,Latin, Central and South American,Missing,North American,Not Applicable,Not Collected,Not Provided,Oceanian,Other ethnic and cultural,Restricted Access
race	demographic	True	string	A social construct used to judge and categorize people based on perceived differences in physical appearance in ways that create and maintain power differentials within social hierarchies. There is no scientifically supported biological basis for discrete racial groups. The provided values are based on race-based data standard defined by CIHI guidance	['EDI indicator']	mCODE.STU3:Patient.extension.race;FHIR:Patient.extension.race	Enum:Another race category,Black,Do not know,East Asian,Indigenous (First Nations, Inuk/Inuit, Metis),Latin American,Middle Eastern,Missing,Not Applicable,Not Collected,Not Provided,Prefer not to answer,Restricted Access,South Asian,Southeast Asian,White
submitter_participant_id	comorbidity	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
age_at_comorbidity_diagnosis	comorbidity	False	integer	Indicate the age (in days) of comorbidity diagnosis.			
comorbidity_code	comorbidity	True	string	Use ICD-10 code or Mondo code to indicate the comorbidity diagnosed.	['Provide code in Compact URI (CURIE) pattern. ICD-10 code: refer to https://icd.who.int/browse10/2019/en MONDO code: refer to https://www.ebi.ac.uk/ols/ontologies/mondo']		pattern:^ICD10:[A-TV-Z][0-9][0-9AB].?[0-9A-TV-Z]{0,4}$|^(MONDO:)[0-9]{7}$
comorbidity_term	comorbidity	False	string	Provide the standardized and human readable term derived from the coding system associated with the comorbidity_code		mCODE.STU3:condition.code;FHIR:condition.code;Phenopacket:disease.term	
comorbidity_treatment_status	comorbidity	False	string	Indicate whether the comorbid condition is currently being treated or not.			Enum:Treated and resolved,Under treatment,Unknown,Untreated
comorbidity_status	comorbidity	False	string	Indicate the current state or activity of the comorbid condition.			Enum:Active,In Remission,Resolved,Unknown
submitter_participant_id	diagnosis	True	string	Unique identifier of the participant within the study, assigned by the data provider.		CQDG:submitter_participant_id;mCODE.STU3:Patient.Identifier;FHIR:Patient.Identifier;Phenopacket:individual.id;BeaconV2:individual.id	pattern:^[A-Za-z0-9\-\._]{1,64}
submitter_diagnosis_id	diagnosis	True	string	Unique identifier of the primary diagnosis event, assigned by the data provider.		mCODE.STU1:Condition.identifier;mCODE.STU2:Condition.identifier;FHIR:condition.code	pattern:^[A-Za-z0-9\-\._]{1,64}$
age_at_diagnosis	diagnosis	False	integer	Age of participant (in days) at time of diagnosis of the condition.		mCODE.STU3:condition.onset;FHIR:condition.onset;Phenopacket:disease.onset	
disease_code	diagnosis	True	string	Use ICD-10 code or Mondo code to represent the disease diagnosed.	['Provide code in Compact URI (CURIE) pattern. ICD-10 code: refer to https://icd.who.int/browse10/2019/en MONDO code: refer to https://www.ebi.ac.uk/ols/ontologies/mondo']	mCODE.STU3:condition.code;FHIR:condition.code;Phenopacket:disease.term	pattern:^ICD10:[A-TV-Z][0-9][0-9AB].?[0-9A-TV-Z]{0,4}$|^(MONDO:)[0-9]{7}$
disease_term	diagnosis	False	string	Provide the standardized and human readable term derived from the coding system associated with the disease_code		mCODE.STU3:condition.code;FHIR:condition.code;Phenopacket:disease.term	
disease_category	diagnosis	True	string	A broader classification that groups diseases into categories.			Enum:Autoimmune disorder,Cancer,Infectious disease
